ID,In_Silico_ST,CC,In_Silico_Serotype,In_Silico_Serotype:colour,Country,Country:colour,Continent,Continent:colour,Predicted_PEN_MIC_CLSI_meningitis,Predicted_PEN_MIC_CLSI_meningitis:colour,SXT_predict_by_geno_CLSI,SXT_predict_by_geno_CLSI:colour,cat1_CLSI,cat1_CLSI:colour,ermB_CLSI,ermB_CLSI:colour,mef_CLSI,mef_CLSI:colour,tet_CLSI,tet_CLSI:colour,MDR,MDR:colour
24775_1#63,1201,ST1201,19A,#43bbff,China,#01a943,Asia,#cb5e43,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
18090_2#185,undeterminable,STundeterminable1,14,#0156b8,China,#01a943,Asia,#cb5e43,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,mef1,#ff2722,neg,#4dbc6b,No,#4dbc6b
21127_2#79,733,ST733,19A,#43bbff,BRAZIL,#cb5a4c,South America,#8176cc,S,#4dbc6b,I,#f797b1,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
21127_2#51,733,ST733,19A,#43bbff,BRAZIL,#cb5a4c,South America,#8176cc,S,#4dbc6b,R,#ff2722,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
21127_2#110,2258,ST2258,16F,#8f93ff,BRAZIL,#cb5a4c,South America,#8176cc,S,#4dbc6b,I,#f797b1,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
21127_1#159,2258,ST2258,16F,#8f93ff,BRAZIL,#cb5a4c,South America,#8176cc,S,#4dbc6b,I,#f797b1,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
15608_4#48,3907,ST3907,19F,#a5b4ff,Trinidad and Tobago,#ff8258,North America,#c7a845,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
19084_7#97,6809,ST6809,7C,#a6d649,Peru,#a5abff,South America,#8176cc,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
11679_1#95,9054,ST9054,14,#0156b8,Peru,#a5abff,South America,#8176cc,R,#ff2722,R,#ff2722,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
21127_2#153,12836,ST12836,16F,#8f93ff,BRAZIL,#cb5a4c,South America,#8176cc,S,#4dbc6b,R,#ff2722,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
